"Original Product","Category","Sustainable Alternative","Aisle Number"
"Plastic Cups","Disposable Drinkware","Paper Cups","Aisle 5"
"Plastic Plates","Disposable Tableware","Compostable Plates","Aisle 5"
"Plastic Cutlery (Forks, Spoons, Knives)","Disposable Tableware","Wooden Cutlery","Aisle 5"
"Plastic Straws","Drink Accessories","Paper Straws","Aisle 6"
"Plastic Balloons","Party Decorations","Biodegradable Balloons","Aisle 7"
"Plastic Tablecloth","Party Supplies","Cloth Tablecloth","Aisle 8"
"Plastic Party Hats","Party Supplies","Recycled Paper Hats","Aisle 7"
"Plastic Confetti","Party Decorations","Biodegradable Confetti","Aisle 7"
"Plastic Gift Bags","Gift Wrapping","Reusable Cloth Bags","Aisle 9"
"Plastic Water Bottles","Beverages","Reusable Water Bottles","Aisle 4"
"Plastic Food Containers","Food Storage","Glass Containers","Aisle 10"
"Plastic Wrap","Food Storage","Beeswax Wrap","Aisle 10"
"Plastic Party Favors","Party Supplies","Eco-friendly Party Favors","Aisle 7"
"Plastic Cups with Lids","Disposable Drinkware","Paper Cups with Compostable Lids","Aisle 5"
"Plastic Napkin Rings","Table Accessories","Wooden Napkin Rings","Aisle 6"
"Plastic Drink Stirrers","Drink Accessories","Bamboo Stirrers","Aisle 6"
"Plastic Cake Toppers","Party Decorations","Paper Cake Toppers","Aisle 7"
"Plastic Straws with Decorations","Drink Accessories","Paper Straws with Decorations","Aisle 6"
"Plastic Serving Trays","Serving Ware","Bamboo Serving Trays","Aisle 8"
"Plastic Ice Bags","Party Supplies","Reusable Ice Packs","Aisle 10"
"Plastic Drink Dispensers","Drinkware","Glass Drink Dispensers","Aisle 4"
"Plastic Food Picks","Party Supplies","Wooden Food Picks","Aisle 7"
"Plastic Straws with Bends","Drink Accessories","Paper Straws with Bends","Aisle 6"
"Plastic Party Streamers","Party Decorations","Paper Streamers","Aisle 7"
"Plastic Cupcake Liners","Baking Supplies","Paper Cupcake Liners","Aisle 9"
"Plastic Party Blowouts","Party Supplies","Reusable Party Blowouts","Aisle 7"
"Plastic Food Wrap","Food Storage","Compostable Food Wrap","Aisle 10"
"Plastic Drink Coasters","Table Accessories","Cork Coasters","Aisle 6"
"Plastic Party Invitations","Party Supplies","Recycled Paper Invitations","Aisle 9"
"Plastic Party Cups","Disposable Drinkware","Compostable Cups","Aisle 5"
"Plastic Food Trays","Serving Ware","Bamboo Food Trays","Aisle 8"
"Plastic Party Banners","Party Decorations","Fabric Banners","Aisle 7"
"Plastic Party Masks","Party Supplies","Paper Masks","Aisle 7"
"Plastic Party Tableware Sets","Disposable Tableware","Reusable Tableware Sets","Aisle 5"
"Plastic Party Cups with Straws","Disposable Drinkware","Paper Cups with Paper Straws","Aisle 5"
"Plastic Food Storage Bags","Food Storage","Reusable Silicone Bags","Aisle 10"
"Plastic Party Popcorn Bags","Party Supplies","Paper Popcorn Bags","Aisle 9"
"Plastic Party Candy Wrappers","Party Supplies","Bulk Candy without Wrappers","Aisle 9"
"Plastic Party Table Covers","Party Supplies","Cloth Table Covers","Aisle 8"